#panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7
2.514209097849354,0.647323788221605,0.024623434880065,-2.099635971847439,-0.735850998449838,2.382446296599176,1.513941075135690
2.258043504997660,0.724081512902912,0.296781149203051,-1.981889997999581,-0.734473271406334,2.121760398138239,1.501642013248004
2.046603941141358,0.808433489280835,0.494701096966637,-1.908735578382505,-0.691660884886980,1.994620399118996,1.492322238559774
1.848648973219864,0.957687965970290,0.698045704417758,-1.804457978148210,-0.691733819587191,1.813207192762077,1.420735971108367
1.697462493784033,1.071275707696612,0.833284942585125,-1.771992712137992,-0.691471319864194,1.760118133831402,1.418488040616114
1.610837552595320,1.161526172604477,0.913617642674077,-1.743960699148345,-0.691874178118176,1.715149792800328,1.418579116513332
1.488809386990791,1.285030120306178,1.011228266485389,-1.733708915059033,-0.693894638801360,1.698443275138884,1.418616077750921
1.390040469302130,1.397607486273113,1.080435057015193,-1.733447634512918,-0.692948036061393,1.698444335720512,1.419305285599563
1.291581741360196,1.528278529428310,1.142763909958957,-1.733327008280336,-0.692918747136990,1.698250547616283,1.422585943651205
1.723633354924772,1.445260486418741,1.129915987483242,-1.514687213668087,-1.153480438989458,1.111834527645195,1.418681030518275
1.717120877293118,1.467957076593919,1.183952634961982,-1.670068368267331,-1.483526527741118,1.030628868326207,1.512530011991923
1.610983858838416,1.534914683827596,1.246605115857041,-1.906920647165233,-1.858481406550474,0.998669690537305,1.511151637087266
1.374318613164594,1.650982812479923,1.296212000139908,-2.153187770010486,-2.175016782154864,1.142063026711187,1.313928536427053
1.240264438887137,1.699753551487298,1.225233217331031,-2.316934761114288,-2.531238340569140,1.245636350161530,1.257359745353706
1.074111666580631,1.706362984791136,1.170332839673071,-2.392102773470777,-2.660735572844743,1.548621546016799,1.101788178135724
0.967224708475301,1.712495706692076,1.192152036501671,-2.340547420334831,-2.378223046166407,1.864757765208133,1.046956835438808
1.283734072941501,1.396068431603281,1.162079286909940,-1.949823968047055,-1.135216309628333,1.850854641547721,0.968030918290882
1.455658884583161,1.314555388567741,1.123346034602163,-1.855541828582953,-1.134800817834006,1.654981157594747,0.967948768474128
1.574090117632297,1.330394267238521,1.109827454386961,-1.742173960808838,-1.135618322385421,1.452918823149469,0.967379808034739
1.684173920254958,1.333758759811094,1.075287956986976,-1.648069060639796,-1.137898987105384,1.305369230495559,0.966865327209234
1.796039007645880,1.343781717350608,1.032511560122172,-1.556814208672371,-1.157843782769309,1.163793250305793,0.966801582028468
1.794980353541623,1.308179784991046,1.051381461047171,-1.780976844299170,-1.536081316338645,1.142443354509851,1.154705752382602
1.722247312004106,1.311094841187460,1.077509724550080,-1.984024335084017,-1.853617600467470,1.145517356426409,1.437045571656691
1.581865170241428,1.309099282448768,1.098019318329660,-2.174643077459756,-2.125971371998390,1.265457130231436,1.437077764522698
1.415562013720211,1.314701946125935,1.094232464707359,-2.320755667951270,-2.397352696130673,1.462792699313404,1.438172519059645
1.276570239880629,1.293198683478891,1.089161909504941,-2.360883720176261,-2.466354185346100,1.777423794492101,1.453589914757760
1.180841321169284,1.295280270631288,1.074405228464227,-2.344568301716465,-2.470150635302387,2.068977949234055,1.427247214963039
1.126662099780937,1.300430125420554,1.032737903488066,-2.273777879346978,-2.334736999538210,2.417577347344822,1.468827653576930
1.317462704284149,1.163400216755114,1.032596341893014,-2.114786655057940,-1.270007603036033,2.215047068187491,1.417273361533883
1.422835670414724,1.144599592125207,1.034992284531387,-2.034536865552659,-1.212229210812756,2.002474595348894,1.416783454269171
1.678926878789015,0.964074152192570,0.872107185213189,-2.011954093431171,-1.210439983070537,1.942403850515627,1.418594422987766
1.796769729641446,0.930587664344854,0.803602475141224,-1.981062934256474,-1.210723497735130,1.862899931918047,1.417522721936305
1.910722366173168,1.101228942135434,0.803962621630284,-1.682862996563861,-1.013980418957488,1.444962430026433,1.407656671845818
1.809656096318328,1.200130546092723,0.796818773328212,-1.507224186357687,-0.570670597420798,1.425217653496398,1.426759100607927
1.658499936197933,1.243262975915147,0.810537989750507,-1.544983813419228,-0.287376144594616,1.545878352180462,1.535637795777784
1.513606301334866,1.032928989878872,0.917721026202509,-2.010122213702142,-0.932959867984057,2.105571811585301,1.534519929990090
1.838128196599228,0.829459164000394,0.694094119012379,-2.040783066553507,-1.100334533721208,2.093237944995701,1.534927182577693
