#panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7
2.664693394883967,-0.230928048039737,2.851679838029496,-2.750807144448902,0.975907212411364,2.569892784074502,0.368385055635350
2.859973775673553,-0.241659666976984,2.875348998056500,-2.837179328918979,0.975946224845118,2.990687073119362,0.534348486201408
2.622687508611496,-0.265001699472729,2.764863922431588,-2.737983555510572,1.351409927217987,2.336747457743356,0.002517360624133
2.618037472069257,-0.250678963233519,2.754889422963375,-2.832891975443407,2.000211270963152,2.277524704965514,-1.606297798505881
2.689350320690556,-0.215959461256077,2.862765961684735,-2.805992920089284,2.549862153048316,2.603612340795813,-1.685501300849207
2.862998288581245,-0.322706897204382,2.881918209538661,-2.634275132096155,2.461007549055522,3.077663156747818,-1.377447462313521
2.751113145731455,-0.369415969372097,2.800284771439508,-2.522749638043870,0.172939030643966,2.159304589309834,0.550660202425206
2.824264836505840,-0.368369428637129,2.839777821151129,-2.535687794565743,-0.218728221204823,2.182211197767560,0.550391388403012
2.849947689566696,-0.310356655505666,2.857039596809873,-2.635551671848118,-0.577784086550275,2.333811800869728,0.427401314697009
2.839313684858309,-0.246165955832597,2.817242520555969,-2.745419640797028,-1.065427580671112,2.557131729575824,0.022414242269589
2.666538698073000,-0.268664452457831,2.682497889480765,-2.845363566281551,-1.066459070794524,3.182714833180082,-0.140628659479161
2.670694908402068,-0.271541479750683,2.863360022809432,-2.663986820625477,0.250708263572130,2.429738002379735,-0.873683474800130
2.424191266722846,-0.346148692670621,2.849405631468793,-2.645932372569920,1.135756384846237,2.107137383378214,-2.070217059549027
2.491623004727145,-0.246912207371305,2.870994384697489,-2.801454027610475,1.804590333615740,2.331745156386560,-2.317607949924138
2.778676715091655,-0.252164959884194,2.710084799221552,-2.741208705466453,1.145303983969699,2.489310568738012,-1.898007277202068
2.798330992090098,-0.347976386468951,2.821138096530535,-2.557011526241637,-0.087629445148389,2.231895159641901,-0.837127196628613
