#panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7
1.579608399981139,1.281882354116857,-0.940534018667121,-1.540491374300237,0.503225947002570,2.188909791201212,-0.563258464210730
1.466437039714110,1.271237804613615,-0.925655084811379,-1.413699127003346,0.655087806959947,1.959984958575328,-0.563616126645770
1.344962848365307,1.261586985521149,-0.894169972687453,-1.310923770505944,0.801970680336148,1.775965546830072,-0.563634926303945
1.250268111734014,1.250158330616198,-0.892448841104830,-1.317970783473263,1.126145066996415,1.638619597833289,-0.564774299730029
1.257130764694744,1.205920150673180,-0.889565072267979,-1.466948105410931,1.400899686594804,1.675703263309267,-0.563852172955475
1.396377192984371,1.183014519105429,-0.943503813241918,-1.666025252308761,1.656775177101294,1.855975977606243,-0.560227725376339
1.426543244314821,1.181758168728682,-0.945208418978084,-1.770964600882342,1.955457288205624,1.853767558275597,-0.570137801419573
1.589453326278611,1.258445721102746,-0.981011986274270,-1.929717010314329,2.526552511342459,1.928184876114892,-1.404420555700861
1.687688934096119,1.273934846811127,-0.956281040043522,-1.927731435475034,2.815050056066361,2.247620275835196,-1.398893029027111
1.676175676065133,1.282832263706335,-0.897264705321773,-1.709830099791811,2.818537859698137,2.870527316749096,-1.076111342379616
1.533364948058338,1.203346780131436,-0.948254502685442,-1.650187535503454,1.164319769316668,2.184568484594642,0.083525472413335
1.640788758432656,1.371857284772645,-1.052521137973718,-1.549216973957263,0.796466773927212,2.141478212700958,0.302006343949285
1.405411895646602,1.373003969973660,-1.043899000770173,-1.275236659722953,0.952117527107398,1.679716758754518,0.296392210454577
1.337434879105965,1.332099986667011,-1.047190823613555,-1.397716164722777,1.416360645075639,1.567457351772449,0.280726046692166
1.648776521196595,1.378380285413492,-1.129352735669995,-1.659090895965590,1.427314831197262,2.041313177039730,0.154137345481140
1.611813768203240,1.368373640161761,-1.124170707329908,-1.815639934255366,2.102595426023006,1.831474695232179,0.153047564385289
1.834835743314316,1.493585439467906,-1.128342469273819,-1.870835592113178,2.322387283424536,2.322570907301373,-0.003651523162921
1.906474839599509,1.608964664508208,-1.104786158477844,-1.794034727293149,2.249155201693302,2.681733454094993,0.007388319087111
1.897392525258817,1.646328095944239,-1.054382004485164,-1.718818364528555,2.162274961783550,2.935997128513124,0.010241844399108
-0.109474992319157,1.173782195859349,0.895234928641403,-1.688996953078723,2.097747395748473,3.038086323757969,-2.194276183713642
0.444168913493031,0.857384722215468,0.368936515937838,-1.890329177973563,0.777673778315385,3.193761389546924,-2.511611600662201
0.862922251312340,0.857756018320719,-0.013412918344077,-1.898506295339432,0.777208358228207,3.319347989333837,-2.508970171877907
0.899413023661464,1.126913291967381,-0.391763528310764,-1.166432551802250,0.629508909867682,1.666779988213132,0.702267360806871
0.621638133111754,1.131994512447561,-0.077297707953536,-1.137400176542897,0.636444252908230,1.635067161130201,0.959385768981192
0.475863053614458,1.150453238681211,0.089701053913225,-1.154251608604524,0.641189504227748,1.639650321026720,0.961434408325868
0.916243079633044,0.945678505328663,-0.332084496000577,-1.510258825419242,0.776180762231349,2.072586079860574,-0.175232458581527
0.909134375511062,0.857983196149512,-0.236553245841512,-1.673519995121851,0.637165049928847,2.411825025902854,-0.184827563366694
0.535056605467457,0.823677537663552,0.176141965824529,-1.780890651217678,0.039778990129630,2.689600271005459,-0.102335879076686
0.650604357133832,0.871625694615079,0.055718503883971,-1.987869541749184,-0.067537532814941,3.494297944731183,-0.227878267394856
1.467628339189742,1.155154675617552,-0.751900981258548,-1.991107282437776,-0.033277036175067,3.571525394124415,0.301764479402139
